reading_id,timestamp_utc,home_id,panel_rated_amps,voltage,safety_threshold_a,appliance_id,appliance_name,location,priority_category,rated_kw,state,power_kw,current_a,panel_total_current_a,panel_headroom_a,alert_level
r-00001,2026-07-11T00:15:08Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.132,0.55,29.77,50.23,NORMAL
r-00002,2026-07-11T00:15:08Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.401,1.67,29.77,50.23,NORMAL
r-00003,2026-07-11T00:15:08Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.401,1.67,29.77,50.23,NORMAL
r-00004,2026-07-11T00:15:08Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.286,1.19,29.77,50.23,NORMAL
r-00005,2026-07-11T00:15:08Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,ON,4.992,20.8,29.77,50.23,NORMAL
r-00006,2026-07-11T00:15:08Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,29.77,50.23,NORMAL
r-00007,2026-07-11T00:15:08Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,OFF,0,0,29.77,50.23,NORMAL
r-00008,2026-07-11T00:15:08Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,29.77,50.23,NORMAL
r-00009,2026-07-11T00:15:08Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,29.77,50.23,NORMAL
r-00010,2026-07-11T00:15:08Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,ON,0.933,3.89,29.77,50.23,NORMAL
r-00011,2026-07-11T00:15:08Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,OFF,0,0,29.77,50.23,NORMAL
r-00012,2026-07-11T06:30:38Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.116,0.48,29.27,50.73,NORMAL
r-00013,2026-07-11T06:30:38Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.361,1.5,29.27,50.73,NORMAL
r-00014,2026-07-11T06:30:38Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.599,2.5,29.27,50.73,NORMAL
r-00015,2026-07-11T06:30:38Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,OFF,0,0,29.27,50.73,NORMAL
r-00016,2026-07-11T06:30:38Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,29.27,50.73,NORMAL
r-00017,2026-07-11T06:30:38Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,29.27,50.73,NORMAL
r-00018,2026-07-11T06:30:38Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,ON,0.962,4.01,29.27,50.73,NORMAL
r-00019,2026-07-11T06:30:38Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,29.27,50.73,NORMAL
r-00020,2026-07-11T06:30:38Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,29.27,50.73,NORMAL
r-00021,2026-07-11T06:30:38Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,ON,1.258,5.24,29.27,50.73,NORMAL
r-00022,2026-07-11T06:30:38Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,ON,3.728,15.53,29.27,50.73,NORMAL
r-00023,2026-07-11T08:45:29Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.11,0.46,12.76,67.24,NORMAL
r-00024,2026-07-11T08:45:29Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.437,1.82,12.76,67.24,NORMAL
r-00025,2026-07-11T08:45:29Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.524,2.18,12.76,67.24,NORMAL
r-00026,2026-07-11T08:45:29Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,OFF,0,0,12.76,67.24,NORMAL
r-00027,2026-07-11T08:45:29Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,12.76,67.24,NORMAL
r-00028,2026-07-11T08:45:29Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,12.76,67.24,NORMAL
r-00029,2026-07-11T08:45:29Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,ON,0.915,3.81,12.76,67.24,NORMAL
r-00030,2026-07-11T08:45:29Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,12.76,67.24,NORMAL
r-00031,2026-07-11T08:45:29Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,12.76,67.24,NORMAL
r-00032,2026-07-11T08:45:29Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,ON,1.077,4.49,12.76,67.24,NORMAL
r-00033,2026-07-11T08:45:29Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,OFF,0,0,12.76,67.24,NORMAL
r-00034,2026-07-11T12:00:49Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.193,0.8,11.58,68.42,NORMAL
r-00035,2026-07-11T12:00:49Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.482,2.01,11.58,68.42,NORMAL
r-00036,2026-07-11T12:00:49Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.492,2.05,11.58,68.42,NORMAL
